Step,AgentID,x,y,alive,habitat_preference
0,Organism000006,5,20,False,Forest
0,Organism000012,25,25,False,Grassland
0,Organism000014,28,2,False,Grassland
0,Organism000015,12,13,False,Forest
0,Organism000017,29,16,False,Forest
0,Organism000018,16,4,False,Grassland
0,Organism000040,30,7,False,Forest
0,Organism000041,40,18,False,Forest
0,Organism000045,47,43,False,Forest
0,Organism000060,47,11,False,Forest
0,Organism000062,9,36,False,Grassland
0,Organism000073,37,23,False,Forest
0,Organism000086,20,10,False,Grassland
0,Organism000087,16,1,False,Grassland
0,Organism000097,13,8,False,Grassland
0,Organism000100,48,33,False,Forest
1,Organism000027,0,34,False,Forest
1,Organism000035,41,13,False,Grassland
1,Organism000036,38,20,False,Grassland
1,Organism000049,10,25,False,Grassland
1,Organism000054,28,34,False,Forest
1,Organism000055,18,48,False,Grassland
1,Organism000061,12,11,False,Forest
1,Organism000064,17,19,False,Grassland
1,Organism000079,48,41,False,Grassland
1,Organism000083,27,23,False,Forest
1,Organism000096,19,14,False,Grassland
1,Organism000104,28,33,False,Forest
1,Organism000106,19,44,False,Forest
1,Organism000111,40,3,False,Forest
2,Organism000026,37,37,False,Grassland
2,Organism000070,22,29,False,Forest
2,Organism000072,31,1,False,Forest
2,Organism000080,11,20,False,Grassland
2,Organism000084,11,30,False,Forest
2,Organism000090,48,17,False,Forest
2,Organism000093,6,16,False,Forest
2,Organism000110,2,45,False,Grassland
2,Organism000122,27,45,False,Forest
3,Organism000020,4,45,False,Forest
3,Organism000021,34,31,False,Grassland
3,Organism000047,6,44,False,Forest
3,Organism000051,2,45,False,Grassland
3,Organism000076,40,9,False,Forest
3,Organism000089,41,9,False,Forest
3,Organism000091,31,29,False,Grassland
3,Organism000098,15,13,False,Forest
3,Organism000105,13,25,False,Grassland
3,Organism000107,41,13,False,Forest
3,Organism000118,41,44,False,Grassland
3,Organism000126,39,34,False,Grassland
3,Organism000129,3,20,False,Grassland
4,Organism000032,41,13,False,Forest
4,Organism000069,41,45,False,Forest
