"x" "y" "category"
1 1 1
2 1 2
3 1 2
4 1 2
5 1 2
6 1 2
7 1 2
8 1 1
9 1 2
10 1 1
11 1 2
12 1 2
13 1 2
14 1 2
15 1 2
16 1 2
17 1 1
18 1 2
19 1 2
20 1 2
21 1 2
22 1 1
23 1 2
24 1 2
25 1 1
26 1 1
27 1 1
28 1 1
29 1 1
30 1 1
31 1 1
32 1 1
33 1 1
34 1 1
35 1 1
36 1 1
37 1 1
38 1 1
39 1 1
40 1 1
41 1 1
42 1 1
43 1 1
44 1 1
45 1 1
46 1 1
47 1 1
48 1 1
49 1 1
50 1 1
51 1 1
52 1 1
53 1 1
54 1 1
55 1 1
56 1 2
57 1 2
58 1 2
59 1 2
60 1 2
61 1 2
62 1 1
63 1 1
64 1 1
65 1 1
66 1 1
67 1 2
68 1 2
69 1 2
70 1 2
71 1 2
72 1 2
73 1 2
74 1 2
75 1 2
76 1 2
77 1 2
78 1 2
79 1 2
80 1 2
81 1 2
82 1 2
83 1 2
84 1 2
85 1 2
86 1 2
87 1 2
88 1 2
89 1 2
90 1 2
91 1 2
92 1 2
93 1 2
94 1 2
95 1 2
96 1 2
97 1 2
98 1 2
99 1 2
100 1 2
1 2 1
2 2 2
3 2 2
4 2 2
5 2 2
6 2 2
7 2 2
8 2 1
9 2 1
10 2 2
11 2 1
12 2 2
13 2 2
14 2 1
15 2 2
16 2 2
17 2 2
18 2 2
19 2 2
20 2 2
21 2 2
22 2 2
23 2 2
24 2 2
25 2 1
26 2 1
27 2 1
28 2 1
29 2 1
30 2 1
31 2 1
32 2 1
33 2 1
34 2 1
35 2 1
36 2 1
37 2 1
38 2 1
39 2 1
40 2 1
41 2 1
42 2 1
43 2 1
44 2 1
45 2 1
46 2 1
47 2 1
48 2 1
49 2 2
50 2 1
51 2 1
52 2 1
53 2 1
54 2 1
55 2 1
56 2 2
57 2 2
58 2 2
59 2 2
60 2 2
61 2 1
62 2 1
63 2 1
64 2 1
65 2 1
66 2 1
