Step,AgentID,habitat_preference,alive,y,x
0,Organism000007,Grassland,False,20,16
0,Organism000051,Forest,False,16,4
0,Organism000052,Grassland,False,10,1
0,Organism000061,Grassland,False,17,6
0,Organism000064,Forest,False,11,22
0,Organism000080,Grassland,False,8,13
0,Organism000082,Grassland,False,22,3
0,Organism000095,Forest,False,21,6
0,Organism000103,Forest,False,15,23
0,Organism000110,Grassland,False,23,11
0,Organism000111,Grassland,False,11,0
0,Organism000118,Grassland,False,21,13
0,Organism000120,Forest,False,13,16
0,Organism000126,Forest,False,1,6
0,Organism000145,Forest,False,20,13
0,Organism000148,Grassland,False,1,14
0,Organism000175,Forest,False,8,11
0,Organism000180,Forest,False,10,16
0,Organism000190,Grassland,False,19,9
0,Organism000192,Grassland,False,9,10
0,Organism000202,Forest,False,10,17
0,Organism000212,Grassland,False,15,22
0,Organism000216,Forest,False,5,10
0,Organism000222,Grassland,False,20,5
0,Organism000224,Grassland,False,21,18
0,Organism000243,Forest,False,2,10
0,Organism000244,Grassland,False,21,24
0,Organism000255,Forest,False,12,2
0,Organism000266,Forest,False,17,13
0,Organism000273,Forest,False,24,14
0,Organism000279,Grassland,False,18,21
0,Organism000295,Grassland,False,10,0
0,Organism000303,Forest,False,18,4
0,Organism000330,Forest,False,7,7
0,Organism000333,Grassland,False,0,20
0,Organism000334,Grassland,False,12,23
0,Organism000349,Grassland,False,15,4
0,Organism000359,Grassland,False,19,22
0,Organism000365,Grassland,False,8,19
0,Organism000382,Forest,False,11,18
0,Organism000384,Grassland,False,19,1
0,Organism000389,Forest,False,21,15
0,Organism000395,Grassland,False,20,21
0,Organism000415,Forest,False,18,14
0,Organism000419,Forest,False,23,22
0,Organism000421,Forest,False,21,24
0,Organism000424,Forest,False,11,13
0,Organism000438,Forest,False,9,13
0,Organism000443,Forest,False,15,22
0,Organism000447,Forest,False,21,7
0,Organism000490,Grassland,False,20,1
0,Organism000505,Grassland,False,5,13
0,Organism000521,Forest,False,14,2
1,Organism000009,Grassland,False,4,16
1,Organism000017,Grassland,False,2,4
1,Organism000020,Forest,False,17,1
1,Organism000033,Grassland,False,23,21
1,Organism000047,Grassland,False,1,15
1,Organism000075,Forest,False,15,20
1,Organism000081,Forest,False,9,17
1,Organism000083,Grassland,False,22,18
1,Organism000089,Forest,False,8,8
1,Organism000114,Forest,False,20,3
1,Organism000115,Forest,False,16,5
1,Organism000117,Forest,False,10,17
1,Organism000122,Grassland,False,3,21
1,Organism000125,Forest,False,19,2
1,Organism000130,Grassland,False,7,19
1,Organism000139,Forest,False,16,2
1,Organism000142,Forest,False,4,11
1,Organism000159,Forest,False,17,9
1,Organism000178,Grassland,False,4,19
1,Organism000199,Grassland,False,21,7
1,Organism000206,Grassland,False,15,1
1,Organism000211,Forest,False,10,12
1,Organism000220,Grassland,False,23,10
1,Organism000240,Forest,False,20,18
1,Organism000265,Grassland,False,24,2
1,Organism000271,Grassland,False,14,14
1,Organism000272,Grassland,False,0,12
1,Organism000281,Grassland,False,11,11
1,Organism000292,Grassland,False,18,10
1,Organism000306,Forest,False,5,10
1,Organism000327,Forest,False,17,16
1,Organism000344,Grassland,False,24,13
1,Organism000356,Grassland,False,14,11
1,Organism000390,Grassland,False,21,24
1,Organism000392,Forest,False,23,5
1,Organism000397,Forest,False,18,0
1,Organism000404,Grassland,False,0,14
1,Organism000407,Grassland,False,8,9
1,Organism000418,Forest,False,15,8
1,Organism000427,Forest,False,2,7
1,Organism000437,Grassland,False,14,14
1,Organism000442,Grassland,False,20,12
1,Organism000446,Grassland,False,6,16
1,Organism000450,Grassland,False,16,12
1,Organism000465,Forest,False,2,18
1,Organism000471,Grassland,False,2,19
1,Organism000513,Grassland,False,20,12
1,Organism000515,Forest,False,2,6
